Date,BIO,Rates
2022-01-03 00:00:00-05:00,735.4199829101562,0.0
2022-01-04 00:00:00-05:00,702.0900268554688,-0.045320982335557924
2022-01-05 00:00:00-05:00,694.4299926757812,-0.010910330423001935
2022-01-06 00:00:00-05:00,683.52001953125,-0.01571068827613986
2022-01-07 00:00:00-05:00,663.1599731445312,-0.029787052032040573
2022-01-10 00:00:00-05:00,664.47998046875,0.001990480996552968
2022-01-11 00:00:00-05:00,674.97998046875,0.015801830466875666
2022-01-12 00:00:00-05:00,669.7000122070312,-0.007822407203917359
2022-01-13 00:00:00-05:00,639.1599731445312,-0.04560256608306412
2022-01-14 00:00:00-05:00,628.22998046875,-0.017100558756844575
2022-01-18 00:00:00-05:00,599.7999877929688,-0.04525411642177346
2022-01-19 00:00:00-05:00,598.4400024414062,-0.0022673980981005037
2022-01-20 00:00:00-05:00,587.4000244140625,-0.018447927916424134
2022-01-21 00:00:00-05:00,585.6799926757812,-0.002928211894436039
2022-01-24 00:00:00-05:00,583.9600219726562,-0.0029367072883385026
2022-01-25 00:00:00-05:00,574.9299926757812,-0.015463437490756515
2022-01-26 00:00:00-05:00,572.0499877929688,-0.005009314037364265
2022-01-27 00:00:00-05:00,564.6699829101562,-0.012900979005847635
2022-01-28 00:00:00-05:00,593.0,0.05017092805932144
2022-01-31 00:00:00-05:00,599.72998046875,0.011349039576306952
2022-02-01 00:00:00-05:00,609.8800048828125,0.016924323853426904
2022-02-02 00:00:00-05:00,618.7999877929688,0.014625799892997282
2022-02-03 00:00:00-05:00,622.9000244140625,0.006625786525492838
2022-02-04 00:00:00-05:00,626.6900024414062,0.006084408217689186
2022-02-07 00:00:00-05:00,625.0599975585938,-0.0026009747665711735
2022-02-08 00:00:00-05:00,617.5999755859375,-0.011934889453483088
2022-02-09 00:00:00-05:00,637.2100219726562,0.0317520193683849
2022-02-10 00:00:00-05:00,625.1699829101562,-0.018894930473985272
2022-02-11 00:00:00-05:00,629.7999877929688,0.007405993584752579
2022-02-14 00:00:00-05:00,620.97998046875,-0.014004457756703115
2022-02-15 00:00:00-05:00,617.6900024414062,-0.005298042015557836
2022-02-16 00:00:00-05:00,612.6900024414062,-0.008094675290578834
2022-02-17 00:00:00-05:00,588.22998046875,-0.03992234551761831
2022-02-18 00:00:00-05:00,583.760009765625,-0.0075990188387932145
2022-02-22 00:00:00-05:00,582.8800048828125,-0.001507477162003279
2022-02-23 00:00:00-05:00,572.4199829101562,-0.017945412237565517
2022-02-24 00:00:00-05:00,598.4299926757812,0.04543868233493753
2022-02-25 00:00:00-05:00,641.2899780273438,0.07162071733724629
2022-02-28 00:00:00-05:00,625.9600219726562,-0.02390487389471385
2022-03-01 00:00:00-05:00,616.75,-0.01471343480312326
2022-03-02 00:00:00-05:00,611.8800048828125,-0.007896222322152369
2022-03-03 00:00:00-05:00,608.739990234375,-0.005131749073968961
2022-03-04 00:00:00-05:00,582.5399780273438,-0.04303974213513362
2022-03-07 00:00:00-05:00,550.1599731445312,-0.05558417637268598
2022-03-08 00:00:00-05:00,524.5700073242188,-0.04651368160073288
2022-03-09 00:00:00-05:00,554.27001953125,0.05661782372676649
2022-03-10 00:00:00-05:00,541.3400268554688,-0.023327966911716125
2022-03-11 00:00:00-05:00,529.8900146484375,-0.02115123884989989
2022-03-14 00:00:00-04:00,541.0599975585938,0.021079813926229818
2022-03-15 00:00:00-04:00,548.739990234375,0.01419434574804157
2022-03-16 00:00:00-04:00,562.8099975585938,0.025640572173734277
2022-03-17 00:00:00-04:00,574.8400268554688,0.021374938876459026
2022-03-18 00:00:00-04:00,588.219970703125,0.023275943258245668
2022-03-21 00:00:00-04:00,579.97998046875,-0.0140083483131751
2022-03-22 00:00:00-04:00,589.4500122070312,0.016328204519451495
2022-03-23 00:00:00-04:00,565.3900146484375,-0.040817706438766144
2022-03-24 00:00:00-04:00,567.7000122070312,0.004085670950574105
2022-03-25 00:00:00-04:00,564.2999877929688,-0.005989121615207149
2022-03-28 00:00:00-04:00,574.0800170898438,0.01733125909700206
2022-03-29 00:00:00-04:00,581.9600219726562,0.013726318018798533
2022-03-30 00:00:00-04:00,580.22998046875,-0.002972784106444193
2022-03-31 00:00:00-04:00,563.22998046875,-0.029298727353361254
2022-04-01 00:00:00-04:00,570.8900146484375,0.013600188990849471
2022-04-04 00:00:00-04:00,569.5499877929688,-0.0023472592287219207
2022-04-05 00:00:00-04:00,574.8499755859375,0.009305570900820292
2022-04-06 00:00:00-04:00,576.6400146484375,0.0031139238732251773
2022-04-07 00:00:00-04:00,596.5999755859375,0.034614248804202497
2022-04-08 00:00:00-04:00,597.1599731445312,0.0009386483096043285
2022-04-11 00:00:00-04:00,589.7100219726562,-0.012475637194242939
2022-04-12 00:00:00-04:00,558.239990234375,-0.05336526524173679
2022-04-13 00:00:00-04:00,564.8499755859375,0.01184075929205175
2022-04-14 00:00:00-04:00,548.1900024414062,-0.029494509807226788
2022-04-18 00:00:00-04:00,542.3400268554688,-0.010671437931892513
2022-04-19 00:00:00-04:00,556.4600219726562,0.026035318099341342
2022-04-20 00:00:00-04:00,562.010009765625,0.00997374038353005
2022-04-21 00:00:00-04:00,545.239990234375,-0.029839360936371184
2022-04-22 00:00:00-04:00,534.2899780273438,-0.02008292202177675
2022-04-25 00:00:00-04:00,529.9500122070312,-0.008122865857106532
2022-04-26 00:00:00-04:00,493.5299987792969,-0.06872348823252117
2022-04-27 00:00:00-04:00,500.9599914550781,0.015054794428218443
2022-04-28 00:00:00-04:00,513.1099853515625,0.02425342163791111
